control_id	class	expected_call	anchor_type	resolved_family	actual_call	outcome	note	tier
POS_EAS	positive	novel	protein_id	sp|Q04571|RODL_NEUCR	novel	hit		P
NEG_BUSCO01	negative	core	busco	tr|V5IP41|V5IP41_NEUCR	not_novel	tn		P
NEG_BUSCO02	negative	core	busco	sp|Q7SC06|RS25_NEUCR	not_novel	tn		P
NEG_BUSCO03	negative	core	busco	tr|Q7RY29|Q7RY29_NEUCR	not_novel	tn		P
NEG_BUSCO04	negative	core	busco	tr|Q7RWT5|Q7RWT5_NEUCR	not_novel	tn		P
NEG_BUSCO05	negative	core	busco	tr|Q7SCW2|Q7SCW2_NEUCR	not_novel	tn		P
NEG_BUSCO06	negative	core	busco	tr|Q7SI31|Q7SI31_NEUCR	not_novel	tn		P
NEG_BUSCO07	negative	core	busco	tr|Q7SH99|Q7SH99_NEUCR	not_novel	tn		P
NEG_BUSCO08	negative	core	busco	tr|Q1K5V9|Q1K5V9_NEUCR	not_novel	tn		P
POS_EAS	positive	novel	protein_id	tr|B2B0H0|B2B0H0_PODAN	novel	hit		C+H
NEG_BUSCO01	negative	core	busco	tr|Q2H025|Q2H025_CHAGB	not_novel	tn		C+H
NEG_BUSCO02	negative	core	busco	sp|Q7SC06|RS25_NEUCR	not_novel	tn		C+H
NEG_BUSCO03	negative	core	busco	tr|B2AEZ4|B2AEZ4_PODAN	not_novel	tn		C+H
NEG_BUSCO04	negative	core	busco	tr|F7VS92|F7VS92_SORMK	not_novel	tn		C+H
NEG_BUSCO05	negative	core	busco	tr|F7W1A4|F7W1A4_SORMK	not_novel	tn		C+H
NEG_BUSCO06	negative	core	busco	tr|B2AT65|B2AT65_PODAN	not_novel	tn		C+H
NEG_BUSCO07	negative	core	busco	tr|Q7SH99|Q7SH99_NEUCR	not_novel	tn		C+H
NEG_BUSCO08	negative	core	busco	tr|Q1K5V9|Q1K5V9_NEUCR	not_novel	tn		C+H
POS_EAS	positive	novel	protein_id	tr|B2B0H0|B2B0H0_PODAN	novel	hit		C
NEG_BUSCO01	negative	core	busco	tr|Q2H025|Q2H025_CHAGB	novel	fp		C
NEG_BUSCO02	negative	core	busco	sp|Q7SC06|RS25_NEUCR	novel	fp		C
NEG_BUSCO03	negative	core	busco	tr|B2AEZ4|B2AEZ4_PODAN	novel	fp		C
NEG_BUSCO04	negative	core	busco	tr|F7VS92|F7VS92_SORMK	novel	fp		C
NEG_BUSCO05	negative	core	busco	tr|F7W1A4|F7W1A4_SORMK	novel	fp		C
NEG_BUSCO06	negative	core	busco	tr|B2AT65|B2AT65_PODAN	novel	fp		C
NEG_BUSCO07	negative	core	busco	tr|Q7SH99|Q7SH99_NEUCR	novel	fp		C
NEG_BUSCO08	negative	core	busco	tr|Q1K5V9|Q1K5V9_NEUCR	novel	fp		C
POS_EAS	positive	novel	protein_id	tr|B2B0H0|B2B0H0_PODAN	novel	hit		R
NEG_BUSCO01	negative	core	busco	tr|Q2H025|Q2H025_CHAGB	novel	fp		R
NEG_BUSCO02	negative	core	busco	sp|Q7SC06|RS25_NEUCR	novel	fp		R
NEG_BUSCO03	negative	core	busco	tr|B2AEZ4|B2AEZ4_PODAN	novel	fp		R
NEG_BUSCO04	negative	core	busco	tr|F7VS92|F7VS92_SORMK	novel	fp		R
NEG_BUSCO05	negative	core	busco	tr|F7W1A4|F7W1A4_SORMK	novel	fp		R
NEG_BUSCO06	negative	core	busco	tr|B2AT65|B2AT65_PODAN	novel	fp		R
NEG_BUSCO07	negative	core	busco	tr|Q7SH99|Q7SH99_NEUCR	novel	fp		R
NEG_BUSCO08	negative	core	busco	tr|Q1K5V9|Q1K5V9_NEUCR	novel	fp		R
